water_station,aru_num,aru,recordings_present,osf_uploaded,notes
ws01,2,ws01_aru02,y,y,
ws02,1,ws02_aru01,y,y,recordings are in 10 min intervals
ws02,2,ws02_aru02,y,y,
ws03,1,ws03_aru01,y,y,
ws03,2,ws03_aru02,y,y,
ws04,1,ws04_aru01,y,y,
ws04,2,ws04_aru02,y,y,
ws05,1,ws05_aru01,y,y,
ws05,2,ws05_aru02,y,y,
ws06,1,ws06_aru01,y,y,
ws06,2,ws06_aru02,y,y,
ws06,3,ws06_aru03,y,y,
ws07,1,ws07_aru01,y,y,
ws07,2,ws07_aru02,y,y,
ws07,3,ws07_aru03,y,y,
ws08,1,ws08_aru01,y,y,
ws08,2,ws08_aru02,y,y,
ws08,3,ws08_aru03,y,y,
ws09,1,ws09_aru01,y,y,
ws09,2,ws09_aru02,y,y,
ws09,3,ws09_aru03,y,y,
ws10,1,ws10_aru01,y,y,
ws10,2,ws10_aru02,y,y,
ws10,3,ws10_aru03,y,y,
ws11,1,ws11_aru01,y,y,
ws11,3,ws11_aru03,y,y,
ws12,3,ws12_aru03,y,y,
ws13,1,ws13_aru01,y,y,
ws13,2,ws13_aru02,y,y,
ws14,2,ws14_aru02,y,y,
ws15,1,ws15_aru01,y,y,
ws15,2,ws15_aru02,y,y,
ws01,1,ws01_aru01,n,,
ws01,3,ws01_aru03,n,,
ws02,3,ws02_aru03,n,,
ws03,3,ws03_aru03,n,,
ws04,3,ws04_aru03,n,,
ws05,3,ws05_aru03,n,,
ws11,2,ws11_aru02,n,,
ws12,1,ws12_aru01,n,,
ws12,2,ws12_aru02,n,,
ws13,3,ws13_aru03,n,,
ws14,1,ws14_aru01,n,,
ws14,3,ws14_aru03,n,,
ws15,3,ws15_aru03,n,,
