"","bin1","bin2","time","date","dateLocal","monthLocal","dayLocal","year","DEW","TAIR","RELH","PRES","station","model","TEWL","EWL.bin1","EWL.bin2","EWL.time","EWL.date","EWL.dateLocal","EWL.monthLocal","EWL.dayLocal","EWL.year","EWL.DEW","EWL.TAIR","EWL.RELH","EWL.PRES","EWL.station","EWL.model","EWL.TEWL"
"1",1040,1045,2020-07-13 00:00:00,2020-07-13,2020-07-13,"07","13","2020",20.7,27.3,67,942.37,"ERIC","pre_hb", 0.06145284,0.06145284,0.06145284,0.06145284,0.06145284,0.06145284,0.06145284,0.06145284,0.06145284,0.06145284,0.06145284,0.06145284,0.06145284,0.06145284,0.06145284,0.06145284
"2",1045,1050,2020-07-13 00:05:00,2020-07-13,2020-07-13,"07","13","2020",20.6,27.2,67,942.24,"ERIC","pre_hb", 0.12218387,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103
"3",1050,1055,2020-07-13 00:10:00,2020-07-13,2020-07-13,"07","13","2020",20.6,27.2,67,942.08,"ERIC","pre_hb", 0.18291490,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103,0.06073103
"4",1055,1060,2020-07-13 00:15:00,2020-07-13,2020-07-13,"07","13","2020",20.7,27.1,68,941.95,"ERIC","pre_hb", 0.24293261,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771
"5",1060,1065,2020-07-13 00:20:00,2020-07-13,2020-07-13,"07","13","2020",20.7,27.1,68,941.87,"ERIC","pre_hb", 0.30295032,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771
"6",1065,1070,2020-07-13 00:25:00,2020-07-13,2020-07-13,"07","13","2020",20.9,27.1,69,941.78,"ERIC","pre_hb", 0.36296803,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771
"7",1070,1075,2020-07-13 00:30:00,2020-07-13,2020-07-13,"07","13","2020",20.9,27.1,69,941.78,"ERIC","pre_hb", 0.42298574,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771
"8",1075,1080,2020-07-13 00:35:00,2020-07-13,2020-07-13,"07","13","2020",20.9,27.1,69,941.79,"ERIC","pre_hb", 0.48300345,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771
"9",1080,1085,2020-07-13 00:40:00,2020-07-13,2020-07-13,"07","13","2020",21.1,27.1,70,941.90,"ERIC","pre_hb", 0.54302116,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771
"10",1085,1090,2020-07-13 00:45:00,2020-07-13,2020-07-13,"07","13","2020",21.1,27.1,70,941.99,"ERIC","pre_hb", 0.60303887,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771,0.06001771
